Content,ID,cleaned_content
Y Combinator widens its bet in edtech in latest batch,0,org widen bet edtech late batch
Google’s Family Link updates reflect the pandemic’s impact on how parents view screen time,1,org family link update reflect pandemic impact parent view screen time
GSV Ventures doubles assets managed with new fund focused on global edtech,2,org double asset manage new fund focus global edtech
"After 200% ARR growth in 2020, CourseKey raises $9M to digitize trade schools",3,"percent arr growth date , org raise $ moneyoneymoney digitize trade school"
"Newsela, the replacement for textbooks, raises $100M and becomes a unicorn",4,"product , replacement textbook , raise money unicorn"
ErudiFi raises $5 million Series A to give students in Southeast Asia more education financing options,5,org raise money series student loc education financing option
Tired of ‘Zoom University’? So is edtech,6,tired ' zoom university ' ? edtech
"Language-learning service Babbel adds live classes, games and more",7,"language - learning service org add live class , game"
African edtech startup uLesson lands a $7.5 million Series A,8,african edtech startup org land money series
Sounding Board raises cash as startups wake up to executive coaching,9,org raise cash startup wake executive coaching
Senator: ‘More transparency is needed’ by exam proctoring tech firms,10,senator : ' transparency need ' exam proctor tech firm
Thimble teaches kids STEM skills with robotics kits combined with live Zoom classes,11,org teach kid stem skill robotics kit combine live product class
YC-backed BlaBla raises $1.5M to teach English through short videos,12,org - org raise money teach language short video
Tappity raises $1.3M for its interactive and educational video library for kids,13,org raise money interactive educational video library kid
Fluent Forever raises $4.9M for its language learning system,14,org raise money language learning system
Brainly raises $80M as its platform for crowdsourced homework help balloons to 350M users,15,org raise money platform crowdsource homework help balloon cardinal user
Edtech boom continues as IntellectoKids raises $3M from Allrise Capital and others,16,edtech boom continue org raise money org
Plaid accelerator announces inaugural cohort of fintech startups,17,plaid accelerator announce inaugural cohort fintech startup
Cross-border fintech Airwallex raises $100M Series D extension at new valuation of $2.6B,18,cross - border fintech org raise money series d extension new valuation money
Pre-seed round funding is under scrutiny: Is VC pandemic posturing here to stay?,19,pre - seed round funding scrutiny : vc pandemic posturing stay ?
Planting seed investments on tech’s frontiers nets KdT Ventures $50 million for its latest fund,20,plant seed investment tech frontier net org money late fund
Waterfund commits $50M to OurCrowd’s water and agtech portfolio,21,org commit money org water agtech portfolio
"Nuvemshop, LatAm’s answer to Shopify, raises $90M in Accel-led Series D",22,"org , org answer org , raise money org - lead series d"
"Aldea Ventures creates ‘hybrid’ European €100M fund to invest both in micro VCs, plus follow-on",23,"org create ' hybrid ' norp € 100 m fund invest micro vc , plus follow -"
